frame_index,exercise,rep_id,is_form_ok,angles
0,pushup,0,True,"{'knee': np.float64(172.72190927040856), 'elbow': np.float64(105.32165123363335)}"
1,pushup,0,True,"{'knee': np.float64(171.90696253095572), 'elbow': np.float64(114.17410047024723)}"
2,pushup,0,True,"{'knee': np.float64(169.6879005269131), 'elbow': np.float64(114.10897077933753)}"
3,pushup,0,True,"{'knee': np.float64(162.47491307727375), 'elbow': np.float64(108.92252398570976)}"
4,squat,0,True,"{'knee': np.float64(153.36880720306382), 'elbow': np.float64(110.85700078929989)}"
5,squat,0,True,"{'knee': np.float64(144.1651119329144), 'elbow': np.float64(87.86691783381734)}"
6,squat,0,True,"{'knee': np.float64(135.45486999503046), 'elbow': np.float64(73.61541110992147)}"
7,squat,0,True,"{'knee': np.float64(126.095713548547), 'elbow': np.float64(65.68530620275362)}"
8,squat,0,True,"{'knee': np.float64(120.88295008682286), 'elbow': np.float64(60.31143308733505)}"
9,squat,0,True,"{'knee': np.float64(113.32818230187851), 'elbow': np.float64(55.26663584001443)}"
10,squat,0,True,"{'knee': np.float64(104.30917943770228), 'elbow': np.float64(52.73699854292007)}"
11,squat,0,True,"{'knee': np.float64(100.34387012114388), 'elbow': np.float64(49.17911225768354)}"
12,squat,0,True,"{'knee': np.float64(95.30195680923379), 'elbow': np.float64(42.04595539450156)}"
13,squat,1,False,"{'knee': np.float64(88.67135144044437), 'elbow': np.float64(37.94912091338421)}"
14,squat,1,True,"{'knee': np.float64(83.0787917003866), 'elbow': np.float64(39.9868862449642)}"
15,squat,1,True,"{'knee': np.float64(78.62105069653393), 'elbow': np.float64(39.88469779575902)}"
16,squat,1,True,"{'knee': np.float64(74.16718373048906), 'elbow': np.float64(38.332930909964205)}"
17,squat,1,True,"{'knee': np.float64(71.29699035901206), 'elbow': np.float64(43.83127382691456)}"
18,squat,1,True,"{'knee': np.float64(67.48797010144705), 'elbow': np.float64(43.200399593180144)}"
19,squat,1,True,"{'knee': np.float64(62.321040566071815), 'elbow': np.float64(39.38681815324321)}"
20,squat,1,True,"{'knee': np.float64(59.41596174209076), 'elbow': np.float64(39.0588067839158)}"
21,squat,1,True,"{'knee': np.float64(56.330656502306624), 'elbow': np.float64(36.780699486863526)}"
